dev_num,dev_id_token,cachesize_limit,TransA,TransB,alpha,beta,M,N,K,Asloc,Bsloc,Csloc,CsOutloc,flops,bytes,loc_str,imp,plot_order,T,timer,pred_t,pred_J,perf,energy,EDP,PDP,Performance (Tflops)
1,1,-1, N,N,1.2345,1.1154,1000,1000,5000,-1,-1,-1,-1,10002000000,88000000,0,taco-paralia-1.5-fixed-streams,2,1000.0,0.005148777109090909,0.0,0.0,1942.977896917105,2.059510843636364,9439.728636345504,4.857444742292762,1.8974393524581104
1,1,-1, N,N,1.2345,1.1154,1000,1000,5000,-1,-1,-1,8,10002000000,88000000,0,XKBLAS,1,1600.0,0.027315554,0.0,0.0,366.960165179436,10.9262216,337.2519063175666,0.9174004129485899,0.35835953630804296
1,1,-1, N,N,1.2345,1.1154,1000,1000,5000,-1,-1,-1,9,10002000000,88000000,0,cuBLASXt,0,-1.0,0.026682613272727272,0.0,0.0,374.8564737826021,10.673045309090908,351.29869679547795,0.9371411844565053,0.36607077517832237
1,1,-1, N,N,1.2345,1.1154,1000,1000,5000,-1,-1,-1,9,10002000000,88000000,0,qeta-mineta-auto-reptile-fastev,3,1000.0,0.004169656990909091,0.0,0.0,2398.8450590689326,1.6678627963636363,14386.662481621424,5.997112647672332,2.3426221279970045
1,1,-1, N,N,1.2345,1.1154,1000,1000,5000,-1,-1,0,0,10002000000,88000000,100,XKBLAS,1,1600.0,0.02668281681818182,0.0,0.0,375.2641883470399,10.673126727272727,352.41078419343046,0.9381604708675998,0.36646893393265617
1,1,-1, N,N,1.2345,1.1154,1000,1000,5000,-1,-1,0,0,10002000000,88000000,100,taco-paralia-1.5-fixed-streams,2,1000.0,0.004371974663636364,0.0,0.0,2288.2074398414743,1.7487898654545455,13092.31214030035,5.720518599603686,2.2345775779701897
1,1,-1, N,N,1.2345,1.1154,1000,1000,5000,0,0,0,0,10002000000,88000000,111,XKBLAS,1,1600.0,0.02271523190909091,0.0,0.0,441.2213546569671,9.086092763636364,487.7187956044659,1.1030533866424177,0.4308802291571944
1,1,-1, N,N,1.2345,1.1154,1000,1000,5000,4,2,-1,-1,10002000000,88000000,35,taco-paralia-1.5-fixed-streams,2,1000.0,0.002293796990909091,0.0,0.0,4368.321887409394,0.9175187963636364,47779.35153379287,10.920804718523486,4.265939343173236
1,1,-1, N,N,1.2345,1.1154,1000,1000,5000,4,2,-1,8,10002000000,88000000,35,XKBLAS,1,1600.0,0.03324921090909091,0.0,0.0,305.07127470013717,13.299684363636363,235.94410647244868,0.7626781867503428,0.2979211666993527
1,1,-1, N,N,1.2345,1.1154,1000,1000,5000,4,2,7,7,10002000000,88000000,835,XKBLAS,1,1600.0,0.031150778636363636,0.0,0.0,324.87350694242116,12.460311454545455,266.55005219964704,0.8121837673560529,0.31725928412345816
